op,file,kernel,axis,gemm,loops_over,grid_axis,meaning,extent,cover_needed,notes
layernorm_fwd_strided_triton,adaln/triton/fused3.py,_ln_kernel,BLOCK_M,0,,0,token,M (B*L tokens),no,grid axis; rows of the flattened (M
layernorm_fwd_strided_triton,adaln/triton/fused3.py,_ln_kernel,BLOCK_N,0,N,0,hidden,N (d_hidden for K1 / d_cond for K2),yes,LayerNorm reduce axis; BLOCK_N>=N branch reads x once instead of twice
adaln_gemm_gate_triton,adaln/triton/fused3.py,_gemm_gate_kernel,BLOCK_M,1,,1,token,M (B*L tokens),no,GEMM M tile; flattened 1-D grid with GROUP_M swizzle
adaln_gemm_gate_triton,adaln/triton/fused3.py,_gemm_gate_kernel,BLOCK_N,1,,1,hidden,N (d_hidden output width),no,GEMM output-N tile
adaln_gemm_gate_triton,adaln/triton/fused3.py,_gemm_gate_kernel,BLOCK_K,1,K,0,hidden,K (d_cond),no,GEMM contraction axis; iterated and pipelined
adaln_bwd_pre_triton,adaln/triton/fused3.py,_bwd_elem_kernel,BLOCK_M,0,,0,token,M (B*L tokens),no,
adaln_bwd_pre_triton,adaln/triton/fused3.py,_bwd_elem_kernel,BLOCK_N,0,N,0,hidden,N (d_hidden),no,pure elementwise single pass; no reduction
adaln_epilogue_triton,adaln/triton/inference.py,_adaln_epilogue_kernel,BLOCK_M,0,,0,token,M (B*L tokens),no,
adaln_epilogue_triton,adaln/triton/inference.py,_adaln_epilogue_kernel,BLOCK_N,0,N,0,hidden,N (d_hidden; SB is 2N wide),yes,LayerNorm reduce axis; covering reads x once
adaln_fwd_triton,adaln/triton/inference.py,_adaln_fused_kernel,BLOCK_M,1,,1,token,M (B*L tokens),no,
adaln_fwd_triton,adaln/triton/inference.py,_adaln_fused_kernel,BLOCK_NX,1,NX,0,hidden,NX (d_x / d_hidden),yes,covering makes outer x-loop single-trip; Cond reloaded once
adaln_fwd_triton,adaln/triton/inference.py,_adaln_fused_kernel,BLOCK_NC,1,NC,0,hidden,NC (d_cond),no,GEMM contraction and cond LN reduce; iterated by design
adaln_fwd_saveact_triton,adaln/triton/main.py,adaln_fwd_kernel,BLOCK_M,1,,1,token,M (B*L tokens),no,
adaln_fwd_saveact_triton,adaln/triton/main.py,adaln_fwd_kernel,BLOCK_NX,1,NX,0,hidden,NX (d_hidden),yes,covering makes outer x-loop single-trip
adaln_fwd_saveact_triton,adaln/triton/main.py,adaln_fwd_kernel,BLOCK_NC,1,NC,0,hidden,NC (d_cond),no,GEMM contraction and cond LN reduce
adaln_bwd_dx_dbias_triton,adaln/triton/main.py,adaln_bwd_input_kernel,BLOCK_M,1,,1,token,M (B*L tokens),no,grid = cdiv(M BLOCK_M)
adaln_bwd_dx_dbias_triton,adaln/triton/main.py,adaln_bwd_input_kernel,BLOCK_NX,1,NX,0,hidden,NX (d_hidden),yes,JOINT guard with BLOCK_NC; reads DY/XHat/Gate once instead of four times
adaln_bwd_dx_dbias_triton,adaln/triton/main.py,adaln_bwd_input_kernel,BLOCK_NC,1,NC,0,hidden,NC (d_cond),yes,JOINT guard with BLOCK_NX; keeps grad_cond_aff in registers
adaln_bwd_dw_triton,adaln/triton/main.py,adaln_bwd_weight_kernel,BLOCK_M,1,,0,token,M (B*L tokens),no,wgrad reduction over tokens; M runtime-large so covering impossible
adaln_bwd_dw_triton,adaln/triton/main.py,adaln_bwd_weight_kernel,BLOCK_NX,1,,1,hidden,NX (d_hidden),no,grid axis 0; dW output tile rows
adaln_bwd_dw_triton,adaln/triton/main.py,adaln_bwd_weight_kernel,BLOCK_NC,1,,1,hidden,NC (d_cond),no,grid axis 1; dW output tile cols
adaln_bwd_dlnw_triton,adaln/triton/main.py,adaln_bwd_lnw_kernel,BLOCK_M,1,,0,token,M (B*L tokens),no,outer accumulation over tokens
adaln_bwd_dlnw_triton,adaln/triton/main.py,adaln_bwd_lnw_kernel,BLOCK_NX,1,NX,0,hidden,NX (d_hidden),no,GEMM contraction of dscale@ScaleW + dy@BiasW
adaln_bwd_dlnw_triton,adaln/triton/main.py,adaln_bwd_lnw_kernel,BLOCK_NC,1,,1,hidden,NC (d_cond),no,grid axis; dlnw output tile
adaln_epilogue_saveact_triton,adaln/triton/training.py,_epilogue_train_kernel,BLOCK_M,0,,0,token,M (B*L tokens),no,
adaln_epilogue_saveact_triton,adaln/triton/training.py,_epilogue_train_kernel,BLOCK_N,0,N,0,hidden,N (d_hidden; SB is 2N wide),yes,LayerNorm reduce axis; covering reads x once
adaln_bwd_pre_dx_triton,adaln/triton/training.py,_bwd_x_kernel,BLOCK_M,0,,0,token,M (B*L tokens),no,
adaln_bwd_pre_dx_triton,adaln/triton/training.py,_bwd_x_kernel,BLOCK_N,0,N,0,hidden,N (d_hidden = NX),yes,LN-backward c1/c2 row reduce; covering reads dy/x/gate once not three times
adaln_bwd_dx_dlnw_triton,adaln/triton/training.py,_dgrad_condln_kernel,BLOCK_M,1,,0,token,M (B*L tokens),no,sole grid axis
adaln_bwd_dx_dlnw_triton,adaln/triton/training.py,_dgrad_condln_kernel,BLOCK_NC,1,NC,0,hidden,NC (d_cond),yes,explicit BLOCK_NC>=NC branch; tiled form recomputes the whole Dt@Wcat GEMM
adaln_bwd_dx_dlnw_triton,adaln/triton/training.py,_dgrad_condln_kernel,BLOCK_K,1,K2,0,hidden,K2 (2*NX concat scale+bias width),no,in-kernel GEMM contraction
augmented_attention_fwd_triton,augmented_attention/triton/main.py,_attn_fwd,BLOCK_M,1,,0,token,N_CTX (query rows),no,grid axis 0; flash query-row tile
augmented_attention_fwd_triton,augmented_attention/triton/main.py,_attn_fwd,BLOCK_N,1,N_CTX,0,seq,N_CTX (KV blocks),no,inner KV loop of the online softmax
augmented_attention_fwd_triton,augmented_attention/triton/main.py,_attn_fwd,BLOCK_D,1,,0,hidden,HEAD_DIM (head dim),yes,grid axis 2 splits d but partial-d qk softmax is WRONG; only launcher pinning saves it
augmented_attention_bwd_pre_triton,augmented_attention/triton/main.py,_attn_bwd_preprocess,BLOCK_M,0,,0,token,N_CTX (query rows),no,grid axis 0; rows of delta
augmented_attention_bwd_pre_triton,augmented_attention/triton/main.py,_attn_bwd_preprocess,BLOCK_D,0,HEAD_DIM,0,hidden,HEAD_DIM (head dim),no,accumulating d-loop for sum_d o*do; associative so any tile is exact
augmented_attention_bwd_split_triton,augmented_attention/triton/main.py,_attn_bwd,BLOCK_M,1,N_CTX,0,token,N_CTX (query rows),no,iterated query-row loop inside _attn_bwd_dqdkdv
augmented_attention_bwd_split_triton,augmented_attention/triton/main.py,_attn_bwd,BLOCK_N,1,,1,seq,N_CTX (KV blocks),no,grid axis 0; pid also selects the dq_expand split slot
augmented_attention_bwd_split_triton,augmented_attention/triton/main.py,_attn_bwd,BLOCK_D,1,,0,hidden,HEAD_DIM (head dim),yes,offs_k = arange(0 BLOCK_D) with no d loop or d grid; must span HEAD_DIM
augmented_attention_bwd_reduce_triton,augmented_attention/triton/main.py,_dq_reduce,BLOCK_SIZE,0,,1,flat,N_ELEM (elements per split),no,grid-tiled linear index; split reduction loops separately over num_splits
augmented_attention_bwd_atomic_triton,augmented_attention/triton/memory_efficient.py,_attn_bwd,BLOCK_M,1,N_CTX,0,token,N_CTX (query rows),no,iterated query-row loop
augmented_attention_bwd_atomic_triton,augmented_attention/triton/memory_efficient.py,_attn_bwd,BLOCK_N,1,,1,seq,N_CTX (KV blocks),no,grid axis 0; dq/dbias via atomic_add so no split buffer
augmented_attention_bwd_atomic_triton,augmented_attention/triton/memory_efficient.py,_attn_bwd,BLOCK_D,1,,0,hidden,HEAD_DIM (head dim),yes,no d loop; launcher pins next_pow2(D)
gated_projection_gate_gemm_triton,bias_only_attention/triton/gate_out.py,_gate_out_fwd,BLOCK_M,1,,1,token,M (B*L*L pair rows),no,huge row extent; standard grid tile
gated_projection_gate_gemm_triton,bias_only_attention/triton/gate_out.py,_gate_out_fwd,BLOCK_N,1,,1,hidden,N (d_pair output width),yes,each N tile recomputes the sigmoid(gate)*out_r prologue
gated_projection_gate_gemm_triton,bias_only_attention/triton/gate_out.py,_gate_out_fwd,BLOCK_K,1,DH,0,hidden,DH (d_hidden contraction),no,standard accumulating GEMM K loop
gated_projection_bwd_dx_triton,bias_only_attention/triton/gate_out.py,_dgrad_epi,BM,1,,1,token,M (B*L*L pair rows),no,grid axis 0; extent far too large to cover
